#{"t_start": 1774464801.3721502, "env_id": "None"}
r,l,t
2816.799,1000,23.813477
2994.5771,1000,48.668283
2960.9668,1000,73.631905
3180.2876,1000,98.842608
398.4132,1000,124.076005
2740.2405,1000,148.178824
2911.0542,1000,171.997648
2878.4556,1000,196.346805
3033.4917,1000,220.74003
2475.7642,1000,245.804269
2879.1167,1000,271.161796
2958.1655,1000,296.620056
2650.5688,1000,321.17957
2750.6567,1000,345.819747
2731.16,1000,370.329245
2562.7615,1000,394.523117
3096.3787,1000,418.632864
2831.224,1000,442.480214
2777.9353,1000,466.959751
2812.3804,1000,491.519631
